file	current	proposed
cypress/integration/socket-reconnect.spec.js	div.p-2	
src/components/ChildrenPetsFields.jsx	common.select	common:select
src/components/ChildrenPetsFields.jsx	common.other	common:other
src/components/ChildrenPetsFields.jsx	common.select	common:select
src/components/ChildrenPetsFields.jsx	pets.cat	profile:cat
src/components/ChildrenPetsFields.jsx	pets.dog	profile:dog
src/components/ChildrenPetsFields.jsx	pets.both	profile:both
src/components/ChildrenPetsFields.jsx	common.other	common:other
src/components/ChildrenPetsFields.jsx	pets.none	profile:none
src/components/ConversationCard.jsx	conversationCard.avatarAlt	translation:avatarAlt
src/components/ConversationList.jsx	chat.overview.loading	chat:overview.loading
src/components/ConversationList.jsx	chat.overview.error	chat:overview.error
src/components/ConversationList.jsx	chat.overview.title	chat:overview.title
src/components/ConversationList.jsx	chat.overview.title	chat:overview.title
src/components/ConversationList.jsx	chat.overview.title	chat:overview.title
src/components/ConversationList.jsx	chat.overview.title	chat:overview.title
src/components/ConversationsOverview.jsx	chat.loading	chat:loading
src/components/ConversationsOverview.jsx	chat.overview.error	chat:overview.error
src/components/ConversationsOverview.jsx	chat.overview.retry	chat:overview.retry
src/components/ConversationsOverview.jsx	chat.overview.retry	chat:overview.retry
src/components/ConversationsOverview.jsx	chat.overview.placeholderName	chat:overview.placeholderName
src/components/ConversationsOverview.jsx	chat.overview.placeholderSnippet	chat:overview.placeholderSnippet
src/components/EducationReligionImportanceFields.jsx	common.select	common:select
src/components/EducationReligionImportanceFields.jsx	common.select	common:select
src/components/EducationReligionImportanceFields.jsx	religionImportance.notImportant	profile:notImportant
src/components/EducationReligionImportanceFields.jsx	religionImportance.somewhatImportant	profile:somewhatImportant
src/components/EducationReligionImportanceFields.jsx	religionImportance.veryImportant	profile:veryImportant
src/components/Footer.jsx	nav.*	common:*
src/components/Footer.jsx	nav.company	common:company
src/components/Footer.jsx	nav.about	common:about
src/components/Footer.jsx	nav.careers	common:careers
src/components/Footer.jsx	nav.press	common:press
